item[id],attached_item[item_id],attached_item[type]
v6_payroll_beta,v6.0_whistleblowing_nonprofit,optional
v6_payroll_beta,v6_whistleblowing_startup,optional
v6_payroll_beta,v6.0_whistleblowing,optional
v6_payroll_beta,v6_compensation_management_nonprofit,optional
v6_payroll_beta,v6_surveys_trial,optional
v6_payroll_beta,v6_surveys_startup,optional
v6_payroll_beta,v6_employee_performance_development_trial,optional
v6_payroll_beta,v6_conversations_lite_ta,optional
v6_payroll_beta,v6_recruiting_l_nonprofit,optional
v6_payroll_beta,v6_recruiting_s_startup,optional
v6_payroll_beta,v6_recruiting_s,optional
v6_payroll_beta,v6-1_recruiting_s,optional
v6_payroll_beta,v6_conversations_standard_trial,optional
v6_payroll_beta,v6_recruiting_l_ta,optional
v6_payroll_beta,v6_recruiting_s_nonprofit,optional
v6_payroll_beta,v6_datev_lodas_integration_startup,optional
v6_payroll_beta,v6_2_conversations_standard,optional
v6_payroll_beta,v6_whistleblowing_ta,optional
v6_payroll_beta,v6_3_whistleblower,optional
v6_payroll_beta,v6_conversations_lite_nonprofit,optional
v6_payroll_beta,v6_recruiting_l_startup,optional
v6_payroll_beta,v6.0_whistleblowing_ta,optional
v6_payroll_beta,v6.0_whistleblowing_startup,optional
v6_payroll_beta,v6_whistleblowing_nonprofit,optional
v6_payroll_beta,v6_compensation_management_ta,optional
v6_payroll_beta,v6_conversations_ta,optional
v6_payroll_beta,v6_employee_performance_development_nonprofit,optional
v6_payroll_beta,v6_recruiting_m_startup,optional
v6_payroll_beta,v6_whistleblowing,optional
v6_payroll_beta,v6_recruiting_m,optional
v6_payroll_beta,v6_conversations_lite_trial,optional
v6_payroll_beta,v6-1_recruiting_m,optional
v6_payroll_beta,v6_employee_performance_development_ta,optional
v6_payroll_beta,v6_recruiting_m_nonprofit,optional
v6_payroll_beta,v6_recruiting_l,optional
v6_payroll_beta,v6_datev_lug_integration_startup,optional
v6_payroll_beta,v6-1_recruiting_l,optional
v6_payroll_beta,v6_compensation_management_trial,optional
v6_payroll_beta,v6_3_conversations_standard,optional
v6_payroll_beta,v6_conversations_nonprofit,optional
v6_payroll_beta,v6_employee_performance_development_startup,optional
v6_payroll_beta,v6_employee_performance_development,optional
v6_payroll_beta,v6-1_employee_performance_and_development,optional
v6_payroll_beta,v6_recruiting_l_trial,optional
v6_payroll_beta,v6_datev_lug_integration_ta,optional
v6_payroll_beta,v6_conversations_startup,optional
v6_payroll_beta,v6_conversations_lite,optional
v6_payroll_beta,v6_1_datev_integration,optional
v6_payroll_beta,v6_whistleblowing_trial,optional
v6_payroll_beta,v6_surveys,optional
v6_payroll_beta,v6.1_employee_performance_development,optional
v6_payroll_beta,v6_datev_lodas_integration_ta,optional
v6_payroll_beta,v6_conversations_lite_startup,optional
v6_payroll_beta,v6_compensation_management,optional
v6_payroll_beta,v6_surveys_nonprofit,optional
v6_payroll_beta,v6_recruiting_m_trial,optional
v6_payroll_beta,v6_recruiting_s_ta,optional
v6_payroll_beta,v6_datev_lodas_integration_nonprofit,optional
v6_payroll_beta,v6_datev_lodas_integration,optional
v6_payroll_beta,v6_compensation_management_startup,optional
v6_payroll_beta,v6_surveys_ta,optional
v6_payroll_beta,v6_2_whistleblower,optional
v6_payroll_beta,v6_recruiting_s_trial,optional
v6_payroll_beta,v6_recruiting_m_ta,optional
v6_payroll_beta,v6_datev_lug_integration_nonprofit,optional
v6_payroll_beta,v6_datev_lug_integration,optional
v6_payroll_beta,v6_2_conversations_lite,optional
v6_payroll_beta,v6_conversations,optional
v6_payroll_beta,v6-1_app_whistleblower,optional
v6_payroll_beta,v6_1_conversations_standard,optional
v6_payroll_pro,v6.0_whistleblowing_nonprofit,optional
v6_payroll_pro,v6_whistleblowing_startup,optional
